,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
1800,Pearlescent Fog,"In 1882, Jelena Ilka Marković was found dead in her cell, serving her sentence after attempting to assassinate King Milan Obrenović in the cathedral. It is believed she committed suicide, but evidence indicates otherwise. Years later, a failed lawyer and the Belgrade police chief reopen the case when the body of a woman killed by the police and that of Prince Miloš's great-grandson are found.[4]",Milorad Milinković,,"Milorad Milinković, Dragoljub Stojkovic","Miloš Timotijević, Petar Strugar, Jana Ivanović, Nebojša Dugalić, Vojislav Brajović, Luka Grbić, Miona Marković, Jelena Ilić, Mariana Arandjelović",Dalibor Tonkovic,Stevan Maric,"July 19, 2025(Palić)",Serbia,Serbian
1801,Pei Kottu,"Pei Kottu (transl. Ghost bite) is a 2025 Indian Tamil-language horror comedy film directed by S Lavanya.[1] The film stars S Lavanya and Deepa Shankar in the lead roles, alongside Sreeja Ravi and Shanthi Anandaraj. The film was produced by S Lavanya under the banner of OM Sai Productions.[2]",S Lavanya,S Lavanya,S Lavanya,"S Lavanya, Deepa Shankar, Sreeja Ravi, Shanthi Anandaraj",S Lavanya,S Lavanya,21 March 2025,India,Tamil
1802,Peleliu Gaiden,"Peleliu: Guernica of Paradise (Japanese: ペリリュー -楽園のゲルニカ-, Hepburn: Periryū -Rakuen no Gerunika-) is a Japanese manga series written and illustrated by Kazuyoshi Takeda [ja]. It was serialized in Hakusensha's seinen manga magazine Young Animal from February 2016 to April 2021 and has been collected in eleven tankōbon volumes. A spin-off manga titled Peleliu Gaiden was serialized in Young Animal in July 2021 to June 2025. An anime film adaptation produced by Shin-Ei Animation and Fugaku premiered in December 2025.",,,,,,,,,
1803,Pelli Kani Prasad,Pelli Kani Prasad (transl. Unmarried Prasad) is a 2025 Indian Telugu-language comedy drama film co-written and directed by Abhilash Reddy Gopidi.[1][2] The film features Saptagiri and Priyanka Sharma in lead roles.[3],Abhilash Reddy Gopidi,,"K. Y. Babu, Bhabu Prakash Goud, Sukka Venkateshwar Goud, Vaibhav Reddy Mutyala","Saptagiri, Priyanka Sharma",Sujatha Siddharth,Madhu,21 March 2025,India,Telugu
1804,Pengantin Iblis,"The film had its world premiere at the Gala Premiere in Jakarta on 22 January 2025, premiered on Indonesian theatres on 29 January, and on Netflix on 5 June.[1][2]",Azhar Kinoi Lubis,Lele Laila,"Andi Suryanto, Marcella Daryanani","Taskya Namya, Wafda Saifan, Arla Ailani, Givina Lukita, Bukie B. Mansyur, Ratna Riantiarno, Elly D. Luthan, Shaqueena Medina Lukman",Muhammad Firdaus,,"January 29, 2025",Indonesia,Indonesian
1805,Pennum Porattum,"Pennum Porattum(transl. Girl and the fools Parade) is a 2025 Indian Malayalam-language satirical comedy-drama film written by P. T. Ravi Sankar and directed by Rajesh Madhavan in his directorial debut. Produced by Santhosh T. Kuruvilla under the banner STK Frames, the film features an ensemble cast of over 100 actors, most of them newcomers drawn from the Palakkad villages where it was shot..[3] The title references porattu, a form of satirical folk theatre traditionally performed in the Palakkad region of Kerala.[4]",Rajesh Madhavan,P. T. Ravi Sankar,"Santhosh T. Kuruvilla, Binu George Alexander, Sherin Rachel Santhosh","Dinesh Peppo, Satheesh Pulikka, Raina Radhakrishnan, Sanooj Alanaloor",Sabin Uralikandy,Chaman Chakko,November 2025(IFFI),India,Malayalam
1806,Penny Lane Is Dead,"Set in the hot summer of 1986, the story starts with a party at a beach house, at which Penny Lane is celebrating her university acceptance with her best friends Toni and Amy. Uninvited guests arrive, a prank goes wrong, and events descend into mayhem and violence.[1]",,,,,,,,,
1807,People and Meat,People and Meat (Korean: 사람과 고기) is a 2025 South Korean drama film directed by Yang Jong-hyun which follows three elderly people in Seoul who dash out of restaurants without paying. It premiered at the 2025 Tribeca Festival.[1][2][3],Yang Jong-hyun,Lim Na-moo,Jang So-jeong,"Park Geun-hyung, Jang Yong, Ye Soo-jung",Lee Sung-eun,Son Jin-woo,"June 6, 2025(Tribeca)",South Korea,Korean
1808,The People Upstairs,"The People Upstairs (Korean: 윗집 사람들) is a 2025 South Korean comedy-drama film directed by Ha Jung-woo, starring Ha with Gong Hyo-jin, Kim Dong-wook, and Lee Hanee. The film follows two married couples who meet due to noise complaints between apartments and the confusion that ensues as they have dinner together.[2] The film is an adaptation of Cesc Gay's 2020 film of the same name, which itself was based on his play Los vecinos de arriba.[3] It had its world premiere at the 30th Busan International Film Festival on September 18, 2025,[4] and was released on December 3, 2025 in South Korea.",Ha Jung-woo,,"Lee Han-dae, Kim Young-hoon","Ha Jung-woo, Gong Hyo-jin, Kim Dong-wook, Lee Hanee",So Jeong-o,"Kim Sang-bum, Kim Ho-bin","September 18, 2025(BIFF)",South Korea,Korean
1809,The People vs. Michael Jackson,"The People vs. Michael Jackson is a two-part Australian documentary that deals with the 2005 criminal trial against pop musician Michael Jackson. It sheds light on the legal, media and social contexts of the trial, which caused a worldwide sensation. The documentary consists of two parts, each about 80 minutes long.",,,,,,,,,
1810,Peotu,"Peotu is a 2025 Indian Kannada language drama film written and directed by Karthik Rajan. The film stars Likhit MN, Ashwini Chavare in the lead role.[1]",Karthik Rajan,,,"Likhit MN, Ashwini Chavare",,,12 December 2025,India,Kannada
1811,Peranbum Perungobamum,Peranbum Perungobamum (transl. Compassion and anger) is a 2025 Indian Tamil-language thriller drama film written and directed by S. Sivaprakash.[1] The film is produced by Kamatchi Jayakrishnan under the banner E5 Entertainment and presented by Thangar Bachan. The film stars Vijith Bachan and Shali Nivekas in the lead roles.[2],S. Sivaprakash,S. Sivaprakash,"Kamatchi Jayakrishnan, Thangar Bachan, (presenter)","Vijith Bachan, Shali Nivekas, Mime Gopi",Dinesh K Bhojan,Ramar,5 June 2025,India,Tamil
1812,The Perfect Gamble,"The film was released in the United States on November 14, 2025 by Saban Films.",Danny A. Abeckaser,Kosta Kondilopoulos,"Danny A. Abeckaser, Rinati Rokach, Yoav Gross","David Arquette, Daniella Pick Tarantino, Danny A. Abeckaser",Barry Markowitz,"Steve Ansell, Eric Chase","November 14, 2025",United States,English
1813,The Perfect Neighbor,"The Perfect Neighbor is a 2025 American documentary film directed by Geeta Gandbhir about a shooting incident on June 2, 2023 where a white woman, Susan Louise Lorincz, fatally shot Ajike Owens, her black neighbor, in Ocala, Florida.",Geeta Gandbhir,,"Alisa Payne, Geeta Gandbhir, Nikon Kwantu, Sam Bisbee",,Alfredo De Lara,Viridiana Lieberman,"January 24, 2025(Sundance)",United States,English
1814,Perla,"Perla is a 2025 Austrian-Slovak drama film written and directed by Alexandra Makárová, starring Rebeka Poláková, Simon Schwarz, Noel Czuczor, and Carmen Diego.",Alexandra Makárová,Alexandra Makárová,"Arash T. Riahi, , Sabine Gruber","Rebeka Poláková, Simon Schwarz, Noel Czuczor, Carmen Diego",Georg Weiss,Joana Scrinzi,2 March 2025(54th International Film Festival Rotterdam),"Austria, Slovakia","Slovak, , German"
1815,Pernikahan Arwah,"The film premiered in Indonesia on 27 February 2025[1] and on Netflix on 3 July.[2] The film also showed in 36 countries in North America, South America, the Caribbean, and Southeast Asia.[3]",Paul Agusta,"Ario Sasongko, Aldo Swastia",Perlita Desiani,"Morgan Oey, Zulfa Maharani, Jourdy Pranata, Brigitta Cynthia, Puty Sjahrul",Ivan Anwal Pane,Dinda Amanda,"February 27, 2025(Indonesia)",Indonesia,Indonesian
1816,Perpetual Adolescent,"Three estranged siblings, on an unusually cold Christmas Eve in Guadalajara, are forced to reunite after their mother's alarming bout of melancholy leaves her in the hospital. Among dusty archives, the past resurfaces, forcing them to rebuild what they thought was lost.[6]",Eduardo Esquivel,"Eduardo Esquivel, Sofía Gómez-Córdova, Omar Robles","Omar Robles Cano, Julia Cherrier, Carlos H. Quiñónez","Teresa Sánchez, Emma Dib, Magdalena Caraballo, Ruth Ramos, Andrés David",Bruno Santamaría Razo,Carlos Cárdenas Aguilar,"May 30, 2025(FICUNAM)","Mexico, France",Spanish
1817,Perusu,"Perusu (lit. 'Respected elder'; coll. Erection) is a 2025 Indian Tamil-language black comedy film directed by Ilango Ram and jointly produced by Stone Bench Films, Baweja Studios and Ember Light Studio. The film stars Vaibhav, Sunil Reddy, Niharika NM, Chandini Tamilarasan and Bala Saravanan. It is a remake of Ilango's 2023 Sri Lankan Sinhalese film Tentigo.[1] The film released on 14 March 2025 to positive reviews from critics.",Ilango Ram,,"Kaarthekeyen Santhanam, Harman Baweja, Hiranya Perera","Vaibhav, Sunil Reddy, Niharika NM, Chandini Tamilarasan, Bala Saravanan",Sathya Thilakam,Sooriya Kumaraguru,14 March 2025,India,Tamil
1818,The Pet Detective,"The Pet Detective is a 2025 Indian-Malayalam language action comedy film directed by Praneesh Vijayan, who co-wrote the screenplay with Jai Vishnu. The film stars Sharaf U Dheen in the lead role, also his debut as producer, along with Vinayakan, Vinay Forrt, Anupama Parameswaran, Shyam Mohan and Joemon Jyothir.[3][4][5]",Praneesh Vijayan,"Praneesh Vijayan, Jai Vishnu","Gokulam Gopalan, Sharaf U Dheen","Sharaf U Dheen, Anupama Parameswaran, Vinayakan, Vinay Forrt, Shyam Mohan, Joemon Jyothir",Anend C. Chandran,Abhinav Sunder Nayak,16 October 2025,India,Malayalam
1819,Pet Peeves,The plot consists of standalone stories making fun of absurd misfortunes stitched together by the story of clockmaker Carlo.[2][3],Javier Polo,,"Javier Polo, Gerard Rodríguez, Borka Aracil, Jorge Hernández, Frank Lucas, Guillermo Polo","Andrea Duro, Enrique Arce, Vito Sanz, Marta Belenguer, Pablo Molinero, Arturo Valls, Berta Vázquez, Javier Coronas, Rubén Bernal, Lorena López, Raúl Navarro, Sixto Javier García, Mamen García, José Miguel López",Beatriz Sastre,"Ernesto Arnal, Vicente Ibáñez, Yago Muñoz",19 March 2025(Málaga),"Spain, Mexico",Spanish
1820,Peter Hujar's Day,"Peter Hujar's Day is a 2025 American biographical drama film written and directed by Ira Sachs. Set during the 1970s, the film stars Ben Whishaw as photographer Peter Hujar and Rebecca Hall as writer Linda Rosenkrantz.",Ira Sachs,,"Jordan Drake, Jonah Disend","Ben Whishaw, Rebecca Hall",Alex Ashe,Affonso Gonçalves,"January 27, 2025(Sundance)",United States,English
1821,Peter Pan's Neverland Nightmare,"Peter Pan's Neverland Nightmare is a 2025 British independent horror film written, co-produced and directed by Scott Chambers. It is the third installment in The Twisted Childhood Universe (TCU), and serves as a horror retelling of J. M. Barrie's Peter Pan. The film stars Megan Placito as Wendy Darling and Martin Portlock as the title character, with Kit Green, Peter DeSouza-Feighoney, Teresa Banham, Olumide Olorunfemi, Campbell Wallace, and Nicholas Woodeson in supporting roles. It follows Wendy as she embarks on a quest to find her younger brother Michael, who has been abducted by Peter Pan and Tinker Bell to be taken to Neverland.",Scott Chambers,,"Rhys Frake-Waterfield, Scott Chambers","Megan Placito, Martin Portlock, Kit Green, Peter DeSouza-Feighoney, Teresa Banham, Olumide Olorunfemi, Campbell Wallace, Nicholas Woodeson",Vince Knight,Dan Allen,13 January 2025(United States),United Kingdom,English
1822,Phantoms of July,Phantoms of July  (German: Sehnsucht in Sangerhausen) is a 2025 German comedy drama film written and directed by Julian Radlmaier. The film is a romantic adventure that explores an unexpected friendship and a deep yearning for a different life.[1],Julian Radlmaier,,Kirill Krasovski,"Clara Schwinning, Maral Keshavarz, Henriette Confurius, Paula Schindler",Faraz Fesharaki,Julian Radlmaier,7 August 2025(Locarno),Germany,"German, Iranian"
1823,Pheasant Island,Pheasant Island (Basque: Faisaien Irla) is a 2025 thriller film directed by Asier Urbieta [eu]. It stars Jone Laspiur and Sambou Diaby.,Asier Urbieta,,"Ibon Cormenzana, Ignasi Estapé, Sandra Tapia Díaz, Ángel Durández","Jone Laspiur, Sambou Diaby, Aia Kruse, Ibrahima Kone, Ximun Fuchs, Jon Olivares, Rodonny Perriere, Itziar Ituño, Josean Bengoetxea",Pau Castejón Úbeda,Maialen Sarasua Oliden,January 2025(GFF),"Spain, France","Basque, French, Spanish"
1824,The Phoenician Scheme,"The Phoenician Scheme is a 2025 espionage black comedy thriller film produced, written and directed by Wes Anderson from a story he conceived with Roman Coppola. The film features an ensemble cast that includes Benicio del Toro, Mia Threapleton, Michael Cera, Riz Ahmed, Tom Hanks, Bryan Cranston, Mathieu Amalric, Richard Ayoade, Jeffrey Wright, Scarlett Johansson, Benedict Cumberbatch, Rupert Friend, Hope Davis, F. Murray Abraham, Charlotte Gainsbourg, Willem Dafoe, and Bill Murray. It tells the story of a ruthless businessman (del Toro) as he seeks to reconcile with his estranged daughter (Threapleton) and complete an ambitious infrastructure project in Phoenicia. The film was produced internationally between the United States and Germany by Anderson's company American Empirical Pictures and Steven Rales's company Indian Paintbrush.",Wes Anderson,,"Wes Anderson, Steven Rales, Jeremy Dawson, John Peet","Benicio del Toro, Mia Threapleton, Michael Cera, Riz Ahmed, Tom Hanks, Bryan Cranston, Mathieu Amalric, Richard Ayoade, Jeffrey Wright, Scarlett Johansson, Benedict Cumberbatch, Rupert Friend, Hope Davis",Bruno Delbonnel,Barney Pilling,"May 18, 2025(Cannes)","United States, Germany",English
1825,Phoenix,"Phoenix is a 2025 Indian Tamil-language sports action drama film[1] written and directed by Anl Arasu and produced by Rajalakshmy Anl Arasu under AK Braveman Pictures banner. The film stars debutant Surya Sethupathi in the lead role [2] alongside  Varalaxmi Sarathkumar, Varsha Viswanath, Devadarshini and 
J. Vignesh in an important roles. The films stars an ensemble cast consisting of  Abi Nakshatra, Sampath Raj, Muthukumar, Dileepan, Ajay Ghosh, Harish Uthaman, Munnar Ramesh, Nandha Saravanan, Aadukalam Murugadoss, Sreejith Ravi, Aadukalam Naren and others in supporting roles.[3]",Anal Arasu,Aanl Arasu,Rajalakshmy Anl Arasu,"Surya Sethupathi, Varsha Viswanath, Varalaxmi Sarathkumar, Devadarshini, J. Vignesh, Abi Nakshathra",R. Velraj,Praveen K. L.,4 July 2025,India,Tamil
1826,cbfcindia.gov.in,"Phouoibee (The Goddess of Paddy) is an Indian Meitei language feature film directed by Rakesh Moirangthem.[1] The film was officially selected for the Competition on Indian Languages’ Film Category at the 31st Kolkata International Film Festival (KIFF) 2025, held from 6 to 13 November 2025 at Nandan, Kolkata.[2][3][4]",,,,,,,,,
1827,Phule,"Phule is a 2025 Indian Hindi-language biographical film directed by Anant Mahadevan[3]  and produced by Dancing Shiva Films
Kingsmen Productions Films and Zee Studios. The film is based on the lives of Jyotirao Phule and Savitribai Phule.[4] The film stars Pratik Gandhi and Patralekha in titular roles.[5] The film was scheduled to release on 11 April 2025.[6][7] but was postponed to 25 April 2025.[8][9][10]",Anant Mahadevan,"Anant Mahadevan, Muazzam Beg","Sunil Jain, Pranay Chokshi, Ritesh Kudecha, Jagdish Patel, Anuya Chauhan Kudecha, Dr. Raj Khaware","Pratik Gandhi, Patralekha",Sunita Radia,Raunak Phadnis,25 April 2025,India,Hindi
1828,The Piano Accident,"The Piano Accident (French: L'Accident de piano) is a 2025 French absurdist comedy film written, directed, shot and edited by Quentin Dupieux. Adèle Exarchopoulos stars in the lead role, with a supporting cast of Jérôme Commandeur, Sandrine Kiberlain and Karim Leklou.[2]",Quentin Dupieux,Quentin Dupieux,Hugo Sélignac,"Adèle Exarchopoulos, Jérôme Commandeur, Sandrine Kiberlain, Karim Leklou",Quentin Dupieux,Quentin Dupieux,2 July 2025,France,French
1829,The Pickup,"The Pickup is a 2025 American heist action comedy film produced and directed by Tim Story and written by Matt Mider and Kevin Burrows. The film stars Eddie Murphy, Pete Davidson, Eva Longoria, and Keke Palmer. The film was released by Amazon MGM Studios via Amazon Prime Video on August 6, 2025, and received generally negative reviews.",Tim Story,"Matt Mider, Kevin Burrows","John Davis, John Fox, Eddie Murphy, Tim Story, Charisse Hewitt-Webster","Eddie Murphy, Pete Davidson, Eva Longoria, Keke Palmer",Larry Blanford,Craig Alpert,"July 27, 2025(Los Angeles)",United States,English
1830,Picture This,Picture This is a 2025 British romantic comedy film starring Simone Ashley and Hero Fiennes Tiffin. It is based on the film Five Blind Dates (2024).,Prarthana Mohan,,"Ben Pugh, Erica Steinberg","Simone Ashley, Hero Fiennes Tiffin",David Higgs,Gary Dollner,6 March 2025,United Kingdom,English
1831,Pidikwe,"The women performing in the film include Joséphine Bacon, Catherine Boivin, Catherine Dagenais-Savard, Émilie Monnet, Aïcha Bastien N'Diaye and Caroline Monnet.",Caroline Monnet,Caroline Monnet,Caroline Monnet,"Joséphine Bacon, Émilie Monnet",Nicolas Canniccioni,Marc Boucrot,"February 18, 2025(Berlin)",Canada,
1832,Pike River,"Pike River is a 2025 New Zealand drama film. Directed by Robert Sarkies, it stars Melanie Lynskey and Robyn Malcolm.",Robert Sarkies,Fiona Samuel,"Vicky Pope, Timothy White, Robert Sarkies","Melanie Lynskey, Robyn Malcolm",Gin Loane,Peter Roberts,7 June 2025(Sydney Film Festival),New Zealand,English
1833,Pillion,"Pillion is a 2025 romantic dark comedy drama film[4][5][6] written and directed by Harry Lighton, based on the 2020 novel Box Hill by Adam Mars-Jones. The film stars Harry Melling as a timid gay man and Alexander Skarsgård as an enigmatic biker who start a BDSM relationship.",Harry Lighton,Harry Lighton,"Emma Norton, Lee Groombridge, Ed Guiney, Andrew Lowe","Harry Melling, Alexander Skarsgård",Nick Morris,Gareth C. Scales,18 May 2025(Cannes),"United Kingdom, Ireland",English
1834,Pind Peya Saara Jombieland Baneya,"Pind Peya Saara Jombieland Baneya (transl. The whole village has become 'Jombieland') or simply Jombieland is a 2025 Indian Punjabi-language zombie comedy film written and directed by Deepak Thapar. It stars Binnu Dhillon, G Khan, Kanika Mann, Angira Dhar, Guri Ghuman and Dhanveer Singh.[1][2] It is produced by Neeraj Ruhil and Subhav Sharma under the banner Next Level Productions. Sukh Kamboj handles the cinematography and editing by Rikki.[3]",Deepak Thapar,Deepak Thapar,"Neeraj Ruhil, Subhav Sharma","Binnu Dhillon, G Khan, Kanika Mann, Angira Dhar, Guri Ghuman",Sukh Kamboj,Rikki,13 June 2025,India,Punjabi
1835,Pintu Ki Pappi,"Pintu Ki Pappi is a 2025 Indian Hindi-language romantic comedy film directed by Shiv Hare. It stars Shushant, Jaanyaa Joshi, and Viidhi, alongside Vijay Raaz, Murli Sharma, Aditi Sanwal, and Ganesh Acharya in supporting roles.[2] The film is produced by Vidhi Acharya, wife of Choreographer Ganesh Acharya. Pintu Ki Pappi was released on 21 March 2025.[3]",Shiv Hare,"Shiv Hare, Anadi Sufi",Vidhi Acharya,"Shushant, Jaanyaa Joshi, Viidhi, Vijay Raaz, Murli Sharma, Aditi Sanwal, Ganesh Acharya",Ajay Pandey,Manoj Magarr,21 March 2025,India,Hindi
1836,Piranthanaal Vazhthukal,"Piranthanaal Vazhthukal (transl. Happy Birthday) is a 2025 Indian Tamil-language drama film written and directed by Raju Chandra.[1] The film stars Appukutty and Aishwarya Anilkumar in the lead roles, alongside Sreeja Ravi  and Roji Mathew. The film was produced by Roji Mathew and Raju Chandra under the banner of  Plan3 Studioz.[2]",Raju Chandra,Raju Chandra,"Roji Mathew, Raju Chandra","Appukutty, Aishwarya Anilkumar, Sreeja Ravi, Roji Mathew",Raju Chandra,Thahir Hamsa,21 February 2025,India,Tamil
1837,Pistachio Wars,"Prior to the 1979 Iranian Revolution, Iran was the primary producer and exporter of pistachios.[6] Following the revolution, California pistachio farmers began to increase their market share of the global pistachio market.[6] This included Stewart and Lynda Resnick, and as of 2023, Wonderful Pistachios was the largest producer of pistachios in the US.[6][7]","Yasha Levine, Rowan Wernham",,Adam McKay,,,,"October 7, 2025",,
1838,The Pitch,"The film premiered at the 2025 Atlantic International Film Festival.[2] It then undertook selected commercial screenings in various Canadian cities, prior to being broadcast by TVOntario in November.[1]",Michèle Hozer,,Michèle Hozer,Diana Matheson,John Minh Tran,Michèle Hozer,"September 15, 2025(AIFF)",Canada,English
1839,A Place for Her,"The film was produced in France and has a running time of about 111 minutes. After a premiere at the 2025 Marrakech International Film Festival,[2][3] it was released on 4 March 2026 and distributed by Pathé Films.[4] It also received the Audience Award for first and second-time directors at the 2026 Glasgow Film Festival.[5][6]",,,,,,,,,
1840,The Plague,"The Plague is a 2025 psychological drama-thriller film[5][6][7] written and directed by Charlie Polinger in his directorial debut. It stars Everett Blunck, Kayo Martin, Kenny Rasmussen, and Joel Edgerton, who is also a producer on the film.  In the film, a twelve-year-old kid (Blunck) arrives at the Tom Lerner Water Polo Camp as a socially anxious outsider. Desperate to fit into the camp's ruthless social hierarchy, he initially aligns himself with a group of popular boys led by Jake (Martin).",Charlie Polinger,Charlie Polinger,"Lizzie Shapiro, Lucy McKendrick, Joel Edgerton, Roy Lee, Steven Schneider, Derek Dauchy","Everett Blunck, Kayo Martin, Kenny Rasmussen, Joel Edgerton",Steven Breckon,"Simon Njoo, Henry Hayes","May 16, 2025(Cannes)","United States, Romania",English
1841,Plainclothes,"Plainclothes is a 2025 romantic thriller drama film directed by Carmen Emmi and starring Tom Blyth, Russell Tovey, Maria Dizzia, Christian Cooke, Gabe Fazio, Amy Forsyth, and John Bedford Lloyd. The film had its world premiere at the Sundance Film Festival on January 26, 2025, and was released in the United States on September 19, 2025.",Carmen Emmi,Carmen Emmi,"Colby Cote, Arthur Landon, Eric Podwall, Vanessa Pantley","Tom Blyth, Russell Tovey, Maria Dizzia, Christian Cooke, Gabe Fazio, Amy Forsyth, John Bedford Lloyd, Darius Fraser, Alessandra Ford Balazs",Ethan Palmer,Erik Vogt-Nilsen,"January 26, 2025(Sundance)","United States, United Kingdom",English
1842,Plankton: The Movie,"Plankton: The Movie is a 2025 American animated musical comedy film based on the television series SpongeBob SquarePants, created by Stephen Hillenburg. It was directed by Dave Needham and written by Kaz, Chris Viscardi, and Mr. Lawrence, based on a story by Lawrence. It stars the series' regular voice cast, and follows Plankton, whose plans for world domination are put to a halt when his computer wife, Karen, decides to take charge. It is the second in a series of SpongeBob character spin-off films for Netflix, following Saving Bikini Bottom: The Sandy Cheeks Movie in 2024.",Dave Needham,,,"Mr. Lawrence, Jill Talley, Tom Kenny, Bill Fagerbakke, Clancy Brown, Rodger Bumpass, Carolyn Lawrence, Lori Alan, Mary Jo Catlett",,Lisa Linder Silver,"March 7, 2025",United States,English
1843,Platanero,"The cast also includes Jean-Mathieu Bérubé, José María Cabral, Ramón Emilio Candelario, Carlo Harrietha and Jonathan St-Armand in supporting roles.",Juan Frank Hernandez,"Juan Frank Hernandez, Vincent Labelle","Laurence Ly, Beatrice Moukhaiber","Irdens Exantus, Stanley Exantus",Benoit Jones-Vallée,Marianne Langston,"January 26, 2025(Sundance)","Canada, Dominican Republic","Haitian Creole, Spanish"
1844,Play Dirty,"Play Dirty is a 2025 American heist action thriller film co-written and directed by Shane Black. It is based on the Parker book series by Donald E. Westlake, written under the pen name Richard Stark. The film stars Mark Wahlberg as the lead character Parker and LaKeith Stanfield as Grofield, another recurring Stark character, along with Rosa Salazar, Keegan-Michael Key, Chukwudi Iwuji, Nat Wolff, Gretchen Mol, Thomas Jane, Tony Shalhoub,  Audrey Kang and Mark Cuban. It was released by Amazon MGM Studios via Prime Video on October 1, 2025.",Shane Black,"Shane Black, Charles Mondry, Anthony Bagarozzi","Jules Daly, Marc Toberoff, James W. Skotchdopole","Mark Wahlberg, LaKeith Stanfield, Rosa Salazar, Keegan-Michael Key, Chukwudi Iwuji, Nat Wolff, Gretchen Mol, Thomas Jane, Tony Shalhoub",Philippe Rousselot,"Chris Lebenzon, Joel Negron","October 1, 2025",United States,English
1845,Playdate,"Playdate is a 2025 American buddy action comedy film directed by Luke Greenfield and written by Neil Goldman. It stars Kevin James and Alan Ritchson alongside Sarah Chalke, Alan Tudyk, Benjamin Pajak, Banks Pierce, Hiro Kanagawa, Stephen Root, and Isla Fisher. The film follows Brian (James), a recently unemployed accountant and father who sets up a playdate with stay-at-home dad Jeff (Ritchson), with the two then being targeted by mercenaries along with their sons (when Jeff reveals he and his “son” are on the run from both the military and the authorities).",Luke Greenfield,Neil Goldman,"Luke Greenfield, Jason Benoit, Mark Fasano, Jeffrey Greenstein, Sean O'Reilly","Kevin James, Alan Ritchson, Sarah Chalke, Alan Tudyk, Benjamin Pajak, Banks Pierce, Hiro Kanagawa, Stephen Root, Isla Fisher",Darran Tiernan,Joe Mitacek,"November 12, 2025",United States,English
1846,Playtime,"Playtime (Portuguese: Hora do recreio) is a 2025 Brazilian documentary film directed by Lúcia Murat. The film addresses topics such as violence, racism and drug dealing in Brazilian schools from the perspective of students aged 14 to 19. Combining a documentary with a fictional approach.[1]",Lúcia Murat,Lucia Murat,"Lucia Murat, Julio Levy","Brenda Viveiros, Luciana Bezerra, Leandra Miranda",Bacco Andrade,"Mair Tavares, Marih Oliveira",15 February 2025(Berlinale),Brazil,Portuguese
1847,Plot Number 302,"'Plot Number 302' is Indian Rajasthani film[1][2][3][4][5] released on 7 February 2025.[6][2] The film features Altaf Hussain, Alisha Soni, Seema Dinodiya and Anjali Sharma.[7] It was written and directed by Vijay Suthar.[8] The film was screened at Rajasthan International Film Festival in February 2025 and received two awards including Best Rajasthani Feature Film and Best Actor male for Altaf Hussain.[9] For the first time in the history of Cinema of Rajasthan, a film has been made in bagri dialect and has been screened in Mumbai and Bengaluru for the first time.[10]",Vijay Suthar,Vijay Suthar,"Vijay Suthar, Vikram O Singh",,Raj Ashiwal,,7 February 2025,India,Rajasthani
1848,A Poet,"A Poet (Spanish: Un poeta) is a 2025 tragicomedy film[3] written, co-produced and directed by Simón Mesa Soto. An international co-production between Colombia, Germany and Sweden, the film stars Ubeimar Rios, Rebeca Andrade, Guillermo Cardona, Allison Correa, Margarita Soto and Humberto Restrepo.",Simón Mesa Soto,Simón Mesa Soto,"Simón Mesa Soto, Juan Sarmiento G., Manuel Ruiz Montealegre","Ubeimar Rios, Rebeca Andrade, Guillermo Cardona, Allison Correa, Margarita Soto, Humberto Restrepo",Juan Sarmiento G.,Ricardo Saravia,19 May 2025(Cannes),"Colombia, Germany, Sweden",Spanish
1849,The Poet,"The Poet premiered on February 4, 2025, at the Mikhailovsky Theatre in Saint Petersburg,[6] and was theatrically released in Russia on February 14, by Central Partnership.[7]",Felix Umarov,"Andrey Kurganov, Vasily Zorky","Grigory Stoyalov, Petr Anurov (, ru, ), Vadim Vereshchagin, Leonid Vereshchagin (, ru, ), Nikita Mikhalkov, Marina Gurtovaya, Anastasia Zdeb","Yura Borisov, Roman Vasilyev, Alyona Dolgolenko, Ilya Vinogorsky, Anna Chipovskaya, Svetlana Khodchenkova, Sergey Gilyov, Ilya Lyubimov, Yevgeny Schwartz, Florian Desbiendras",Michael Hasaya,,"February 4, 2025(Mikhailovsky Theatre)",Russia,Russian
1850,Poetic License,"Poetic License is a 2025 American comedy film directed by Maude Apatow in her feature directorial debut, and written by Raffi Donatich. It stars Leslie Mann, Andrew Barth Feldman, Cooper Hoffman, Nico Parker, Maisy Stella, Method Man, Martha Kelly, and Jake Bongiovi.",Maude Apatow,Raffi Donatich,"Judd Apatow, Maude Apatow, Josh Church, Thalia Daniel, Will Greenfield, Benjamin Hung, Olivia Rosenbloom","Leslie Mann, Andrew Barth Feldman, Cooper Hoffman, Nico Parker, Maisy Stella, Method Man, Martha Kelly, Jake Bongiovi",Jeffrey Waldron,Jay Cassidy,"September 6, 2025(TIFF)",United States,English
